site_id,m_host,prefixes,post response
1661553231556003196,CNYFIP01,['10.158.140.0/22'],
1661552277339008996,DFWUVP01,['10.144.132.0/22'],
1661553286520007996,CNYMSP01,['10.65.180.0/22'],
1660917510606017196,SNAAPP01,['10.156.244.0/22'],
1661534890645020196,BNAGHP01,['10.114.56.0/22'],
1658313983569010096,PHLVOP01,['10.109.96.0/22'],
1661534986585008696,DSMRIP01,['10.136.184.0/22'],
1661552791233010996,CSGAUP01,['10.126.52.0/22'],
1661534671773005696,PHXYRP01,['10.156.232.0/22'],
1661552894725000796,TULNOP01,['10.157.40.0/22'],
1661535145660004996,PRCRIP01,['10.154.228.0/22'],
1661535289813017696,SYRRIP01,['10.100.4.0/22'],
1660918680405013896,ATLROP01,['10.33.64.0/22'],
1661552940256002096,HOUICP01,['10.157.8.0/22'],
1661953257781001396,ATLFCP01,['10.38.52.0/22'],
1661535220691003696,SYRCAP01,['10.100.240.0/22'],
1661552987668011796,HOUTAP01,['10.154.116.0/22'],
1661535352747012296,ELPTSP01,['10.158.28.0/22'],
1661553571294000096,DENIAP01,['10.63.76.0/22'],
1661535415994007796,WJFSHP01,['10.155.36.0/22'],
1660916700458008596,MODSHP01,['10.154.160.0/22'],
1661553859529003596,DENUCP01,['10.143.60.0/22'],
1661553100089019096,WCOSHP01,['10.154.184.0/22'],
1662462383335013196,PFNTSP01,['10.123.176.0/22'],
1662476039599018196,WMCFIP01,['10.69.96.0/22'],
1658144750089017296,RICINP01,['10.100.96.0/22'],
1659363113843014796,TXKRIP01,['10.158.84.0/22'],
1659562747992004796,ICTWWP01,['10.140.12.0/22'],
1659564808423008496,SLCPOP01,['10.145.128.0/22'],
1659564896220005296,SLCSRP01,['10.158.132.0/22'],
1659362984598007996,IDARXP01,['10.138.156.0/22'],
1659562496056004296,HOUENP01,['10.155.192.0/22'],
1659362888224012696,FOETSP01,['10.140.56.0/22'],
1659565077668017496,KWCFIP01,['10.151.152.0/22'],
1662748672056000996,GSPPHP01,['10.115.232.0/22'],
1662748716748011796,GSPPRP01,['10.118.84.0/22'],
1662748556731014996,FTCRIP01,['10.130.248.0/22'],
1662748765221025296,GTRCYP01,['10.116.52.0/22'],
1662749039384000596,IPTRIP01,['10.109.0.0/22'],
1662750480695017796,LITFIP01,['10.117.100.0/22'],
1662750259940005596,ISPRAP01,['10.106.212.0/22'],
1662750354777012496,ISPMFP01,['10.106.248.0/22'],
1662750549948015696,LITRNP01,['10.117.56.0/22'],
1662750191149013796,ISPLIP01,['10.97.172.0/22'],
1662750416505005296,LGAQAP01,['10.102.208.0/22'],
1662750604594016096,MBSMDP01,['10.138.244.0/22'],
1662750836425014696,MCOFWP01,['10.123.8.0/22'],
1662750663803010396,MBSSMP01,['10.130.84.0/22'],
1662751027869021196,MCOCVP01,['10.116.68.0/22'],
1663175546057007696,HOUWFP01,['10.69.112.0/22'],
1662750718749025596,LRUFIP01,['10.151.36.0/22'],
1662750890697016096,MCOSSP01,['10.123.4.0/22'],
1662751086362024496,MCOSCP01,['10.117.152.0/22'],
1662750938710014696,MCIBCP01,['10.143.176.0/22'],
1662750780072011196,LRUTSP01,['10.144.124.0/22'],
1662750981533016196,MCINOP01,['10.139.44.0/22'],
1662751345249017796,MKEDNP01,['10.132.216.0/22'],
1662751129732024796,NYCFCP01,['10.16.116.0/22'],
1662749093210022496,IPTTSP01,['10.108.168.0/22'],
1662751179549020096,NYCFFP01,['10.16.112.0/22'],
1662751228108017596,ONTFSP01,['10.154.64.0/22'],
1662751451186017696,OKCAWP01,['10.155.120.0/22'],
1662751573825007796,OXRTOP01,['10.154.48.0/22'],
1662751401336021696,MKEIWP01,['10.62.168.0/22'],
1662751509827019696,OKCMOP01,['10.156.112.0/22'],
1662751291184023596,ONTTSP01,['10.153.240.0/22'],
1662751618657014496,OXRTSP01,['10.154.112.0/22'],
1663336177741011296,YULRIP01,['10.129.143.0/28'],
1662751884178022796,EWREBP01,['10.104.72.0/22'],
1662751950544021896,EWREZP01,['10.104.48.0/22'],
1662904150845020596,ELPSEP01,['10.156.152.0/22'],
1662904662615011996,PITNSP01,['10.97.92.0/22'],
1662905784107009696,PIACYP01,['10.128.212.0/22'],
1662905887617002496,PIAILP01,['10.131.48.0/22'],
1662905667488003996,PNSPCP01,['10.121.120.0/22'],
1662905994843001596,ROACYP01,['10.105.32.0/22'],
1662904814284015596,PITRNP01,['10.106.128.0/22'],
1662906107695003296,ROARIP01,['10.106.208.0/22'],
1662906127009023196,SGUCYP01,['10.154.28.0/22'],
1662905972792004496,SGUTSP01,['10.155.112.0/22'],
1662906234786002396,SANONP01,['10.157.120.0/22'],
1662906629534025496,SLCLEP01,['10.155.88.0/22'],
1662906510657020596,SANOSP01,['10.154.236.0/22'],
1662905267282024396,SOSFTP01,['10.100.116.0/22'],
1662905827314007496,SYRDRP01,['10.109.40.0/22'],
1662905679874025296,SYRDTP01,['10.109.36.0/22'],
1662904769496005996,SOSLBP01,['10.105.92.0/22'],
1663863218352011596,TIAMCP01,['10.228.8.0/22'],
1681154552149003996,TEST-Chris_ION-2K,"['10.26.254.160/27', '10.26.254.128/27']",
1662904642280022596,SLCDPP01,['10.157.156.0/22'],
1662904095838016396,SJCMPP01,['10.149.100.0/22'],
1662905547769003396,SNATFP01,['10.149.172.0/22'],
1662904249832016296,SJCTMP01,['10.150.64.0/22'],
1662905418673022896,SNATUP01,['10.146.228.0/22'],
1662904477246017896,SLCDRP01,['10.150.24.0/22'],
1663956102663006296,TULMKP01,['10.156.84.0/22'],
1663956377186024696,TULRIP01,['10.148.120.0/22'],
1663956599917005996,EWRWNP01,['10.16.152.0/22'],
1663956453768002196,TULSHP01,['10.150.132.0/22'],
1663956262779001996,TUSCEP01,['10.145.136.0/22'],
1664213613137024596,DROFIP01,['10.141.124.0/22'],
1663956549570002596,YUMTSP01,['10.155.52.0/22'],
1663956326593007396,TUSRIP01,['10.153.180.0/22'],
1663956736739019096,PUBSHP01,['10.139.16.0/22'],
1663956503336005796,YUMSHP01,['10.153.168.0/22'],
1663956785609015896,NYCFDP01,['10.17.132.0/22'],
1662749144257000296,HZLFIP01,['10.102.44.0/22'],
1663957321907001696,SATSRP01,['10.155.148.0/22'],
1663956835041020296,HOUFHP01,['10.158.92.0/22'],
1663956882317008596,ROWFIP01,['10.147.216.0/22'],
1662749211168004196,HZLRIP01,['10.102.212.0/22'],
1663957092451012896,ROWTSP01,['10.145.180.0/22'],
