AccountId,Region,VpcId,Name,CidrBlock,RejectionReason,ErrorDetails
871216462967,us-west-2,vpc-f8e0ec81,Unnamed,172.31.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
871216462967,eu-west-2,vpc-b57fd4dd,Unnamed,172.31.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
871216462967,ap-northeast-1,vpc-a7f482c0,Unnamed,172.31.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
871216462967,ap-southeast-1,vpc-af2c69c8,Unnamed,172.31.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
336942569330,us-west-2,vpc-0917c67c9e9d8e8d3,mi-lz-na-loyalty-prod-us-west-2-vpc,10.216.136.0/23,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
301220284239,us-west-2,vpc-0658f5b90ff429354,Unnamed,10.0.0.0/22,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
332645427436,us-west-2,vpc-0bacb1c05fc2b91b9,Unnamed,10.0.0.0/22,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
777050211007,us-east-1,vpc-05b4ff9c5639a47bf,mi-lz-dc-hotelops-test-us-east-1-vpc,10.212.76.0/24,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
125720579239,us-east-1,vpc-0f21645a3e1d1bc06,mi-lz-dc-sales-dev-us-east-1-vpc,10.212.74.0/24,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
339712715860,us-east-1,vpc-0db52312bd95ac1fa,mi-lz-mcom-sandbox-us-east-1-vpc,192.168.0.0/23,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
339712829092,us-east-1,vpc-0b2d8e3d247994073,mi-lz-icd-core-team-sandbox-us-east-1-vpc,192.168.0.0/23,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
457352897684,us-west-2,vpc-0e25095352ea3efdc,data-migration-vpc,172.25.212.0/23,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
477893803077,us-west-2,vpc-05836686940294640,data-migration-vpc-temp,172.25.210.0/23,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
618653283510,us-east-1,vpc-0e29b170304668e09,mi-lz-generative-ai-sandbox-us-east-1-vpc,192.168.0.0/23,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
759752224209,us-east-1,vpc-0c738819753324c00,mi-lz-dr-sandbox-us-east-1-vpc,192.168.0.0/23,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
759752224209,us-west-2,vpc-0e29fdeff897d46c8,mi-lz-dr-sandbox-us-west-2-vpc,192.168.0.0/23,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
342047190587,us-west-2,vpc-01b4aab4ed6430414,sg-audit-test,10.0.0.0/24,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
448347543675,us-east-2,vpc-0e87663cff375a176,csao-test,10.0.0.0/24,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
883113265457,ap-northeast-1,vpc-04d88c771d1201239,testVpc,10.0.0.0/24,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
25472518909,us-east-1,vpc-0ae16c521a462ca1c,mi-lz-network-test-default,10.212.19.128/25,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
